title,price,sid,linkwithprice,desc,categoryId,productid
Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW),2400.0,289859,/preisvergleich/Relocate/481806088.html?categoryId=18406&pos=9&price=2400.0&productid=3711720&sid=289859&type=offer," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H ohne Re­ge­lung, ohne Spei­cher, Mon­ta­ge­plat­te 258 + 223-1 (Un­ter­putz), ATEC Schacht 8...",18406,3711720
Viessmann Vitola 200 (18 kW),2301.55,293331,/preisvergleich/Relocate/585082833.html?categoryId=18406&pos=11&price=2301.55&productid=1064514&sid=293331&type=offer, Viess­mann Öl­hei­zung Vitola 200 18 kW Öl-Hei­zungs­an­la­ge rlu VB2AN82,18406,1064514
Per Eko KSW Plus 100,9230.0,12041,/preisvergleich/Relocate/428081747.html?categoryId=18406&pos=1&price=9230.0&productid=3669745&sid=12041&type=offer, ,18406,3669745
Wolf ComfortLine CNU 17 TH,1664.04,299105,/preisvergleich/Relocate/526927953.html?categoryId=18406&pos=1&price=1664.04&productid=3462110&sid=299105&type=offer, Wolf Com­fort­Li­ne Unit-Heiz­kes­sel CNU-17 aus Stahl mit Öl­ge­blä­se­bren­ner TH 8906855,18406,3462110
Viessmann Vitogas 200-F (35 kW),1469.76,293331,/preisvergleich/Relocate/585082420.html?categoryId=18406&pos=2&price=1469.76&productid=1321273&sid=293331&type=offer, Viess­mann Gas­kes­sel Vi­to­gas 200-F Gas­hei­zung 35 kW Erdgas L / LL GS21340,18406,1321273
Viessmann Vitogas 200-F Erdgas E/H (18 kW),1408.35,294528,/preisvergleich/Relocate/559986560.html?categoryId=18406&pos=4&price=1408.35&productid=3942472&sid=294528&type=offer, Vi­to­gas 200-F 18kW Erdgas E mit Vi­to­tro­nic 100 KC4B,18406,3942472
Viessmann Vitola 200 (50 kW),2706.08,293331,/preisvergleich/Relocate/585082318.html?categoryId=18406&pos=7&price=2706.08&productid=1238963&sid=293331&type=offer, Viess­mann Vitola 200 50 kW Öl-Hei­zungs­an­la­ge VB2AN80,18406,1238963
Wolf ComfortLine CHK,1228.44,276812,/preisvergleich/Relocate/535650599.html?categoryId=18406&pos=3&price=1228.44&productid=3171594&sid=276812&type=offer, Wolf Com­fort­Li­ne Öl-/Gas-Heiz­kes­sel Wolf Com­fort­Li,18406,3171594
Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW),2405.0,289859,/preisvergleich/Relocate/481802880.html?categoryId=18406&pos=10&price=2405.0&productid=3711720&sid=289859&type=offer," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H Mon­ta­ge­plat­te 994, ohne Re­ge­lung, ohne Spei­cher, ATEC Schacht 6 Meter 80/125 Jun­kers",18406,3711720
Viessmann Vitola 200 (18 kW),2416.0,293331,/preisvergleich/Relocate/585082082.html?categoryId=18406&pos=12&price=2416.0&productid=1064514&sid=293331&type=offer, Viess­mann Öl­hei­zung Vitola 200 18 kW Öl­heiz­kes­sel VX2A110,18406,1064514
Wolf ComfortLine CNU 17 TH,1752.42,9701,/preisvergleich/Relocate/544902842.html?categoryId=18406&pos=2&price=1752.42&productid=3462110&sid=9701&type=offer, ,18406,3462110
Per Eko KSW Plus 150,12470.0,12041,/preisvergleich/Relocate/458639400.html?categoryId=18406&pos=1&price=12470.0&productid=4518719&sid=12041&type=offer, ,18406,4518719
Wolf ComfortLine CNU-CB 17 TH 155 L,4035.0,9701,/preisvergleich/Relocate/515141785.html?categoryId=18406&pos=1&price=4035.0&productid=3471161&sid=9701&type=offer, ,18406,3471161
Viessmann Vitogas 200-F (35 kW),1590.49,293331,/preisvergleich/Relocate/585082181.html?categoryId=18406&pos=3&price=1590.49&productid=1321273&sid=293331&type=offer, Viess­mann Gas­kes­sel Vi­to­gas 200-F 35 kW Vi­to­tro­nic 100 Erdgas L / LL GS21304,18406,1321273
Viessmann Vitogas 200-F Erdgas E/H (18 kW),1579.0,223861,/preisvergleich/Relocate/463226441.html?categoryId=18406&pos=5&price=1579.0&productid=3942472&sid=223861&type=offer, Viess­mann Gas-Nie­der­tem­pe­ra­tur­kes­sel Vi­to­gas 200-F 18 kW mit Re­ge­lung,18406,3942472
Viessmann Vitola 200 (50 kW),3182.8,294528,/preisvergleich/Relocate/559969162.html?categoryId=18406&pos=8&price=3182.8&productid=1238963&sid=294528&type=offer, Öl­heiz­kes­sel mit Ge­blä­se­bren­ner 50 kW m. Vi­to­tro­nic 200 KO1B + Vit­of­la­me 200,18406,1238963
Wolf ComfortLine CHK,1527.4,276812,/preisvergleich/Relocate/535650526.html?categoryId=18406&pos=4&price=1527.4&productid=3171594&sid=276812&type=offer, Wolf Com­fort­Li­ne Öl-/Gas-Heiz­kes­sel Wolf Com­fort­Li,18406,3171594
Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW),2420.0,289859,/preisvergleich/Relocate/481778688.html?categoryId=18406&pos=11&price=2420.0&productid=3711720&sid=289859&type=offer," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H ohne Re­ge­lung, ohne Spei­cher, Mon­ta­ge­plat­te 258 + 223-1 (Un­ter­putz), ATEC Schacht 10 ...",18406,3711720
Viessmann Vitola 200 (18 kW),2448.0,223861,/preisvergleich/Relocate/463226301.html?categoryId=18406&pos=13&price=2448.0&productid=1064514&sid=223861&type=offer, Viess­mann Öl­kes­sel Vitola 200 18 kW Öl­hei­zung / Öl­heiz­kes­sel,18406,1064514
Wolf ComfortLine CNU 17 TH,1764.08,9701,/preisvergleich/Relocate/485216634.html?categoryId=18406&pos=3&price=1764.08&productid=3462110&sid=9701&type=offer, ,18406,3462110
Wolf ComfortLine CNU-CB 17 TH 155 L,4360.0,9701,/preisvergleich/Relocate/440755951.html?categoryId=18406&pos=2&price=4360.0&productid=3471161&sid=9701&type=offer, ,18406,3471161
