title,price,header,kw,sid,linkwithprice,productid,categoryId,desc
Wolf ComfortLine CNU 25 TH,3074.35, Wolf ComfortLine CNU 25 TH,"Öl-Heizkessel, Ölheizung, Niedertemperaturkessel / Montageart: Standkessel / Nennwärmeleistung: 23 kW / Energieträger: Öl / Norm-Nutzungsgrad: 95 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Wasserinhalt im Kessel: 58 Liter / Durchmesser des Abgasanschlusses: 129 ...",276812,/preisvergleich/Relocate/501881376.html?categoryId=18406&pos=5&price=3074.35&productid=3462077&sid=276812&type=offer,3462077,18406, Wolf Paket Stahl­heiz­kes­sel CNU-25 TH Aus­füh­rung He
Junkers Cerapur Comfort-Eco ZSBE 28-3 A (28 kW),2160.0, Junkers Cerapur Comfort-Eco ZSBE 28-3 A (28 kW),"Gastherme, Niedertemperaturkessel, Gas-Brennwertkessel, Gas-Heizkessel, Gasheizung / Montageart: Wandkessel / Nennwärmeleistung: 27,7 kW / Energieträger: Erdgas, Erdgas E, Erdgas H, Erdgas L, Erdgas LL, Flüssiggas / Norm-Nutzungsgrad: 109 % / verwendbar für: Heizungswasser, Trinkwasser (externer ...",289859,/preisvergleich/Relocate/481780397.html?categoryId=18406&pos=11&price=2160.0&productid=1217855&sid=289859&type=offer,1217855,18406," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 21 Brenn­wert­ther­me 28 kW, L/LL Mon­ta­ge­plat­te 994, ohne Re­ge­lung, ohne Spei­cher, ohne Ab­gas­pa­ket Jun­kers"
Viessmann Vitogas 200-F (18 kW),2127.72, Viessmann Vitogas 200-F (18 kW),"Gasheizung, Niedertemperaturkessel, Gas-Heizkessel, Kombikessel / Montageart: Standkessel / Nennwärmeleistung: 18 kW / Energieträger: Erdgas, Erdgas E, Flüssiggas, Erdgas LL / Norm-Nutzungsgrad: 93 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / maximale ...",297223,/preisvergleich/Relocate/588971726.html?categoryId=18406&pos=11&price=2127.72&productid=1321242&sid=297223&type=offer,1321242,18406, VIESS­MANN GS21310 Vi­to­gas 200-F 18 kW mit Vi­to­tro­nic 200(KO1B) für Erdgas E
Junkers Cerapur Comfort-Eco ZSBE 16-3 A 23 Erdgas E/H (16 kW),2089.0, Junkers Cerapur Comfort-Eco ZSBE 16-3 A 23 Erdgas E/H (16 kW),"Gasheizung, Gastherme, Niedertemperaturkessel, Gas-Brennwertkessel, Gas-Heizkessel / Montageart: Wandkessel / Nennwärmeleistung: 15,9 kW / Energieträger: Erdgas, Erdgas E, Erdgas H / Norm-Nutzungsgrad: 109 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / maximale ...",289859,/preisvergleich/Relocate/481814532.html?categoryId=18406&pos=15&price=2089.0&productid=2635849&sid=289859&type=offer,2635849,18406," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 16-3 A 23 Brenn­wert­ther­me 16 kW, E/H ohne Re­ge­lung, ohne Spei­cher, Jun­kers AZB10 Dach rot 80/125, ohne Mon­ta­ge­plat­te Jun­kers"
Wolf ComfortLine CNK 20,993.35, Wolf ComfortLine CNK 20,"Öl-Heizkessel, Ölheizung, Niedertemperaturkessel / Montageart: Standkessel / Nennwärmeleistung: 20 kW / Energieträger: Öl / Norm-Nutzungsgrad: 95 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Wasserinhalt im Kessel: 51 Liter / Durchmesser des Abgasanschlusses: 129 ...",9701,/preisvergleich/Relocate/545008341.html?categoryId=18406&pos=2&price=993.35&productid=3461995&sid=9701&type=offer,3461995,18406, 
Wolf ComfortLine CNU 25 TH,3479.81, Wolf ComfortLine CNU 25 TH,"Öl-Heizkessel, Ölheizung, Niedertemperaturkessel / Montageart: Standkessel / Nennwärmeleistung: 23 kW / Energieträger: Öl / Norm-Nutzungsgrad: 95 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Wasserinhalt im Kessel: 58 Liter / Durchmesser des Abgasanschlusses: 129 ...",276812,/preisvergleich/Relocate/501881331.html?categoryId=18406&pos=6&price=3479.81&productid=3462077&sid=276812&type=offer,3462077,18406, Wolf Paket Stahl­heiz­kes­sel CNU-25 TH Aus­füh­rung Mi
Junkers Cerapur Comfort-Eco ZSBE 28-3 A (28 kW),2165.0, Junkers Cerapur Comfort-Eco ZSBE 28-3 A (28 kW),"Gastherme, Niedertemperaturkessel, Gas-Brennwertkessel, Gas-Heizkessel, Gasheizung / Montageart: Wandkessel / Nennwärmeleistung: 27,7 kW / Energieträger: Erdgas, Erdgas E, Erdgas H, Erdgas L, Erdgas LL, Flüssiggas / Norm-Nutzungsgrad: 109 % / verwendbar für: Heizungswasser, Trinkwasser (externer ...",289859,/preisvergleich/Relocate/481804066.html?categoryId=18406&pos=12&price=2165.0&productid=1217855&sid=289859&type=offer,1217855,18406," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H Mon­ta­ge­plat­te 993, ohne Re­ge­lung, ohne Spei­cher, ohne Ab­gas­pa­ket Jun­kers"
Junkers Cerapur Comfort-Eco ZSBE 28-3 A (28 kW),2165.0, Junkers Cerapur Comfort-Eco ZSBE 28-3 A (28 kW),"Gastherme, Niedertemperaturkessel, Gas-Brennwertkessel, Gas-Heizkessel, Gasheizung / Montageart: Wandkessel / Nennwärmeleistung: 27,7 kW / Energieträger: Erdgas, Erdgas E, Erdgas H, Erdgas L, Erdgas LL, Flüssiggas / Norm-Nutzungsgrad: 109 % / verwendbar für: Heizungswasser, Trinkwasser (externer ...",289859,/preisvergleich/Relocate/481818523.html?categoryId=18406&pos=13&price=2165.0&productid=1217855&sid=289859&type=offer,1217855,18406," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 21 Brenn­wert­ther­me 28 kW, L/LL Mon­ta­ge­plat­te 993, ohne Re­ge­lung, ohne Spei­cher, ohne Ab­gas­pa­ket Jun­kers"
Wolf ComfortLine CHK 37,1089.3, Wolf ComfortLine CHK 37,"Öl-Heizkessel, Ölheizung, Niedertemperaturkessel / Montageart: Standkessel / Nennwärmeleistung: 37 kW / Energieträger: Öl / Norm-Nutzungsgrad: 95 % / verwendbar für: Heizungswasser, Trinkwasser (externer Warmwasserspeicher) / Wasserinhalt im Kessel: 41 Liter / Durchmesser des Abgasanschlusses: 149 ...",276812,/preisvergleich/Relocate/535650648.html?categoryId=18406&pos=1&price=1089.3&productid=3171628&sid=276812&type=offer,3171628,18406, Wolf Com­fort­Li­ne Öl-/Gas-Heiz­kes­sel Wolf Com­fort­Li
Junkers Cerapur Comfort-Eco ZSBE 28-3 A (28 kW),2190.0, Junkers Cerapur Comfort-Eco ZSBE 28-3 A (28 kW),"Gastherme, Niedertemperaturkessel, Gas-Brennwertkessel, Gas-Heizkessel, Gasheizung / Montageart: Wandkessel / Nennwärmeleistung: 27,7 kW / Energieträger: Erdgas, Erdgas E, Erdgas H, Erdgas L, Erdgas LL, Flüssiggas / Norm-Nutzungsgrad: 109 % / verwendbar für: Heizungswasser, Trinkwasser (externer ...",289859,/preisvergleich/Relocate/481779535.html?categoryId=18406&pos=14&price=2190.0&productid=1217855&sid=289859&type=offer,1217855,18406," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 21 Brenn­wert­ther­me 28 kW, L/LL Jun­kers FR 120, ohne Spei­cher, ohne Ab­gas­pa­ket, ohne Mon­ta­ge­plat­te Jun­kers"
