title,price,header,kw,sid,linkwithprice,productid,categoryId,desc
"Viessmann Vitorondens 200-T (20,2 kW)",4768.99," Viessmann Vitorondens 200-T (20,2 kW)"," 24,6 ",276812,/preisvergleich/Relocate/427057851.html?categoryId=18406&pos=13&price=4768.99&productid=2835975&sid=276812&type=offer,2835975,18406," Viess­mann Paket Vi­to­ron­dens 200-T 20,2 kW mit Misc"
"Viessmann Vitorondens 200-T (24,6 kW)",5180.99," Viessmann Vitorondens 200-T (24,6 kW)", 22 ,276812,/preisvergleich/Relocate/427057866.html?categoryId=18406&pos=13&price=5180.99&productid=2835996&sid=276812&type=offer,2835996,18406," Paket Vi­to­ron­dens 200-T,Vi­to­tro­nic 200, Spei­cher 24,6 kW, 160 Liter links"
Viessmann Vitogas 200-F Erdgas L/LL (22 kW),1270.0, Viessmann Vitogas 200-F Erdgas L/LL (22 kW), 25 ,9701,/preisvergleich/Relocate/444524198.html?categoryId=18406&pos=1&price=1270.0&productid=3942591&sid=9701&type=offer,3942591,18406, 
Wolf ComfortLine CHK,938.34, Wolf ComfortLine CHK, 63 ,276812,/preisvergleich/Relocate/535650608.html?categoryId=18406&pos=1&price=938.34&productid=3171594&sid=276812&type=offer,3171594,18406, Wolf Com­fort­Li­ne Öl-/Gas-Heiz­kes­sel Wolf Com­fort­Li
Wolf ComfortLine CHU 22,1999.99, Wolf ComfortLine CHU 22, 20 ,9701,/preisvergleich/Relocate/408537387.html?categoryId=18406&pos=1&price=1999.99&productid=3153337&sid=9701&type=offer,3153337,18406, 
Viessmann Vitogas 200-F Erdgas L/LL (48 kW),2362.45, Viessmann Vitogas 200-F Erdgas L/LL (48 kW), 22 ,297223,/preisvergleich/Relocate/588971831.html?categoryId=18406&pos=2&price=2362.45&productid=3942581&sid=297223&type=offer,3942581,18406, VIESS­MANN GS21342 Vi­to­gas 200-F 48 kW für Erdgas LL
Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW),2055.0, Junkers Cerapur Comfort-Eco ZSBE 28-3 A 23 Erdgas E/H (28 kW), 24 ,289859,/preisvergleich/Relocate/481813007.html?categoryId=18406&pos=2&price=2055.0&productid=3711720&sid=289859&type=offer,3711720,18406," Jun­kers Ce­ra­pur­Com­fort-Eco ZSBE 28-3 A 23 Brenn­wert­ther­me 28 kW, E/H Mon­ta­ge­plat­te 258, ohne Re­ge­lung, ohne Spei­cher, ohne Ab­gas­pa­ket Jun­kers"
Viessmann Vitogas 200-F (42 kW),1909.95, Viessmann Vitogas 200-F (42 kW), 85 ,297223,/preisvergleich/Relocate/588971855.html?categoryId=18406&pos=3&price=1909.95&productid=1321276&sid=297223&type=offer,1321276,18406, VIESS­MANN GS21332 Vi­to­gas 200-F 42 kW für Erdgas E
Viessmann Vitopend 200-W (24 kW),2046.5, Viessmann Vitopend 200-W (24 kW), 17 ,297223,/preisvergleich/Relocate/436143926.html?categoryId=18406&pos=5&price=2046.5&productid=2734161&sid=297223&type=offer,2734161,18406," VIESS­MANN WH2B131 Vi­to­pend 200-W für Erdgas E, 10,5-24 kW, Gas-Um­lauf., Vi­to­tro­nic 100"
Viessmann Vitogas 200-F (29 kW),1854.62, Viessmann Vitogas 200-F (29 kW)," 28,9 ",297223,/preisvergleich/Relocate/588971843.html?categoryId=18406&pos=7&price=1854.62&productid=1321263&sid=297223&type=offer,1321263,18406, VIESS­MANN GS21303 Vi­to­gas 200-F 29 kW mit Vi­to­tro­nic 100(KC4B) für Erdgas LL
